N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
186,NHN,"37,250",600,+1.64%,500,"13,975","37,518",19.14,"74,593",11.96,6.81,
187,KODEX 종합채권(AA-이상)액티브,"103,055",580,-0.56%,0,"13,825","13,415",0.00,"6,566",N/A,N/A,
188,TIGER 미국테크TOP10 INDXX,"11,920",265,-2.17%,0,"13,768","115,500",0.28,"996,355",N/A,N/A,
189,대덕전자,"27,850",650,-2.28%,500,"13,763","49,417",17.15,"408,376",22.75,9.55,
190,PI첨단소재,"46,850","2,250",-4.58%,500,"13,758","29,366",10.45,"236,854",21.50,21.03,
191,LX인터내셔널,"35,400","1,200",+3.51%,"5,000","13,721","38,760",25.80,"454,608",3.92,22.49,
192,티와이홀딩스,"26,650",0,0.00%,500,"13,573","50,929",5.82,"14,852",7.64,11.58,
193,더존비즈온,"44,150","1,000",-2.21%,500,"13,414","30,383",32.62,"187,560",25.86,12.10,
194,한국앤컴퍼니,"14,050",0,0.00%,500,"13,338","94,935",9.76,"43,014",6.73,5.53,
195,KODEX 2차전지산업,"19,815",710,-3.46%,0,"13,236","66,800",1.21,"2,795,309",N/A,N/A,
196,LS ELECTRIC,"43,700",500,+1.16%,"5,000","13,110","30,000",16.18,"40,132",15.47,5.86,
197,코스모신소재,"43,250","1,400",-3.14%,"1,000","13,013","30,087",6.64,"812,131",71.61,9.42,
198,TIGER 2차전지테마,"20,505",755,-3.55%,0,"12,775","62,300",0.94,"2,832,749",N/A,N/A,
199,TIGER MSCI Korea TR,"14,480",25,-0.17%,0,"12,757","88,100",0.00,29,N/A,N/A,
200,영풍,"689,000","2,000",-0.29%,"5,000","12,692","1,842",4.07,410,10.22,3.66,
